dataset,method,seed,selected_alpha,alpha1_iid_acc_pct,alpha1_bilinear_acc_pct,alpha1_nearest_acc_pct,selected_iid_acc_pct,selected_bilinear_acc_pct,selected_nearest_acc_pct,iid_gain_pp,bilinear_gain_pp,nearest_gain_pp,alpha1_nearest_drop_pp,selected_nearest_drop_pp,drop_reduction_pp,alpha1_nearest_rrr_pct,selected_nearest_rrr_pct,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,nan_flag,divergence_flag,same_checkpoint_eval,final_checkpoint_only,placement,evidence_level,source_file
Tiny-ImageNet,ADI-LoRA,42,0.8,88.7,88.87,81.99,89.17,89.35,82.9,0.47,0.48,0.91,6.71,6.27,0.44,92.4352,92.9685,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,ee797c48bd4e_tiny_lora_seed42_selected_vs_alpha1_fixedlabel_20260627_235526/tiny_lora_seed42_selected_vs_alpha1_fixedlabel_20260627_235526/fixedlabel_same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-LoRA,43,0.8,88.38,88.55,82.23,89.11,89.47,82.97,0.73,0.92,0.74,6.15,6.14,0.01,93.0414,93.1096,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,0a427199b394_tiny_imagenet_lora_seed43_failed_recover_no_ckpt_20260628_154419./outputs/stage4_failed_lora_recover_20260628_153445/tiny_imagenet_lora_seed43_same_checkpoint_recover_20260628_153445/same_checkpoint_comparison.csv
Tiny-ImageNet,ADI-LoRA,44,0.8,88.46,88.76,82.64,89.09,89.37,83.31,0.63,0.61,0.67,5.82,5.78,0.04,93.4208,93.5122,0,0,final_checkpoint_only,0,0,0,1,1,Main paper,formal_three_seed,1edf2d2f9ac5_tiny_imagenet_lora_seed44_failed_recover_no_ckpt_20260628_155354./outputs/stage4_failed_lora_recover_20260628_153445/tiny_imagenet_lora_seed44_same_checkpoint_recover_20260628_154419/same_checkpoint_comparison.csv
