dataset,method,peft_type,seed,alpha,checkpoint_type,checkpoint_id,val_bicubic_acc_pct,val_bilinear_acc_pct,test_nearest_acc_pct,loss_ce,selected,alpha_selection_source,nearest_used_for_alpha_selection,corruption_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,diagnostic_nearest_full_alpha_sweep,source_run_dir,source_file
CIFAR-100,ADI-LoRA,lora,44,0.6,final,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,91.53999999999999,91.34,62.44,3.1690279296875,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed44/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,44,0.8,final,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,92.04,91.78,61.35,3.3875467777252197,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed44/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-LoRA,lora,44,1.0,final,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722/checkpoints/final_delta_lora_seed44.pth,92.10000000000001,91.47999999999999,56.940000000000005,3.974989461135864,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/delta_lora_seed44_20260624_194722,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/lora/seed44/lora_full_alpha_nearest_sweep.csv
CIFAR-100,ADI-DoRA,dora,42,0.2,final,outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,86.74,86.58,50.519999999999996,4.178370753860474,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed42_20260626_152357,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42
CIFAR-100,ADI-DoRA,dora,42,0.4,final,outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,90.9,90.53999999999999,56.35,3.652270719909668,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed42_20260626_152357,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42
CIFAR-100,ADI-DoRA,dora,42,0.6,final,outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.62,91.84,57.089999999999996,3.7153882877349855,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed42_20260626_152357,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42
CIFAR-100,ADI-DoRA,dora,42,0.8,final,outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.67999999999999,92.14,52.94,4.315020827484131,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed42_20260626_152357,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42
CIFAR-100,ADI-DoRA,dora,42,1.0,final,outputs/fr_peft_cifar100/dora_seed42_20260626_152357/checkpoints/final_dora_seed42.pth,92.2,91.67999999999999,44.82,5.510523044586182,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed42_20260626_152357,source_packages/fig3_sweep_check_20260702_153817/cifar100_full_alpha_nearest_sweep_20260702_135246/dora/seed42
CIFAR-100,ADI-DoRA,dora,43,0.2,final,outputs/fr_peft_cifar100/dora_seed43_20260627_142535/checkpoints/final_dora_seed43.pth,85.28,84.46000000000001,48.89,4.389855928039551,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed43_20260627_142535,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,43,0.4,final,outputs/fr_peft_cifar100/dora_seed43_20260627_142535/checkpoints/final_dora_seed43.pth,90.44,89.62,55.95,3.810749492263794,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed43_20260627_142535,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,43,0.6,final,outputs/fr_peft_cifar100/dora_seed43_20260627_142535/checkpoints/final_dora_seed43.pth,92.28,91.58,57.25,3.7571804203033445,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed43_20260627_142535,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,43,0.8,final,outputs/fr_peft_cifar100/dora_seed43_20260627_142535/checkpoints/final_dora_seed43.pth,92.5,92.14,54.47,4.153890328979492,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed43_20260627_142535,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,43,1.0,final,outputs/fr_peft_cifar100/dora_seed43_20260627_142535/checkpoints/final_dora_seed43.pth,92.44,91.8,48.08,5.168368643188477,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed43_20260627_142535,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,44,0.2,final,outputs/fr_peft_cifar100/dora_seed44_20260627_161856/checkpoints/final_dora_seed44.pth,85.7,84.86,49.309999999999995,4.25976358718872,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed44_20260627_161856,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,44,0.4,final,outputs/fr_peft_cifar100/dora_seed44_20260627_161856/checkpoints/final_dora_seed44.pth,90.64,90.44,55.510000000000005,3.7447898498535155,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed44_20260627_161856,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,44,0.6,final,outputs/fr_peft_cifar100/dora_seed44_20260627_161856/checkpoints/final_dora_seed44.pth,92.30000000000001,92.06,56.43,3.8178911994934084,1,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed44_20260627_161856,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,44,0.8,final,outputs/fr_peft_cifar100/dora_seed44_20260627_161856/checkpoints/final_dora_seed44.pth,92.75999999999999,92.02,53.18000000000001,4.411004998779297,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed44_20260627_161856,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
CIFAR-100,ADI-DoRA,dora,44,1.0,final,outputs/fr_peft_cifar100/dora_seed44_20260627_161856/checkpoints/final_dora_seed44.pth,92.42,91.66,44.85,5.6725262283325195,0,val_bicubic_and_val_bilinear,0,0,final_checkpoint_only,0,1,outputs/fr_peft_cifar100/dora_seed44_20260627_161856,source_packages/dora_diag_check_20260703/derived/dora_seed43_44_fig4_ready_response.csv
