method,n,acc_mean,acc_std,cka_to_frozen_mean,cka_to_frozen_std,specdist_to_frozen_mean,specdist_to_frozen_std,high_specdist_to_frozen_mean,high_specdist_to_frozen_std
LoRA alpha=1.0,3,0.5808,0.022573435715459875,0.6035440130092029,0.009209148264951141,0.9386730080197571,0.0023416262721753425,0.9439702423767932,0.0023656809895297314
ADI-LoRA alpha*,3,0.6215333333333334,0.023885630268706163,0.6425379056586328,0.010875256637084909,0.9272227518877406,0.0027819108122753137,0.93412868979124,0.002701170414165755
DoRA alpha=1.0,3,0.45916666666666667,0.018735616705444564,0.5775457344743603,0.004803687575058424,0.9421516940345683,0.000868536621620273,0.9467940144478136,0.0008203463573647753
ADI-DoRA alpha*,3,0.5461333333333334,0.017494094241581475,0.6569800976735012,0.035149563639075614,0.9230595413286975,0.013597886287430114,0.9306383459431351,0.012055004640400295
